n_number,maker,model,year_mfr,reg_status,owner_name,city,state
213PF,AIRBUS HELICOPTERS INC,AS350B3,2017,Valid,LAPD AIR SUPPORT DIVISION,LOS ANGELES,CA
21844,BELL,412EP,1999,Valid,LOS ANGELES POLICE DEPT AIR SUPPORT DIVISION,LOS ANGELES,CA
221LA,AIRBUS HELICOPTERS INC,AS350B3,2014,Valid,LAPD AIR SUPPORT DIVISION,LOS ANGELES,CA
223LA,AIRBUS HELICOPTERS INC,AS350B3,2014,Valid,LAPD AIR SUPPORT DIVISION,LOS ANGELES,CA
224LA,AIRBUS HELICOPTERS INC,AS350B3,2022,Valid,LAPD AIR SUPPORT DIVISION,LOS ANGELES,CA
225LA,AIRBUS HELICOPTERS INC,AS350B3,2019,Valid,LAPD AIR SUPPORT DIVISION,LOS ANGELES,CA
226LA,AIRBUS HELICOPTERS INC,AS350B3,2019,Valid,LAPD AIR SUPPORT DIVISION,LOS ANGELES,CA
230LA,AIRBUS HELICOPTERS INC,AS350B3,2020,Valid,LAPD AIR SUPPORT DIVISION,LOS ANGELES,CA
267LA,AIRBUS HELICOPTERS INC,AS350B3,2017,Valid,LAPD AIR SUPPORT DIVISION,LOS ANGELES,CA
472LA,AIRBUS HELICOPTERS INC,AS350B3,2018,Valid,LAPD AIR SUPPORT DIVISION,LOS ANGELES,CA
661PD,EUROCOPTER,AS 350 B2,2006,Valid,LAPD AIR SUPPORT DIVISION,LOS ANGELES,CA
662PD,EUROCOPTER,AS 350 B2,2006,Valid,LAPD AIR SUPPORT DIVISION,LOS ANGELES,CA
665PD,EUROCOPTER,AS 350 B2,2007,Valid,LAPD AIR SUPPORT DIVISION,LOS ANGELES,CA
668PD,AMERICAN EUROCOPTER LLC,AS350B2,2009,Valid,LOS ANGELES POLICE DEPT AIR SUPPORT DIVISION,LOS ANGELES,CA
851EM,BEECH,C-12C,1976,Valid,LOS ANGELES POLICE DEPARTMENT,LOS ANGELES,CA
913WB,EUROCOPTER,AS 350 B2,2008,Valid,LAPD AIR SUPPORT DIVISION,LOS ANGELES,CA
